IE_XML_ID;IE_NAME;IE_ACTIVE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_CODE;IP_PROP307;IP_PROP308;IP_PROP309;IP_PROP310;IC_GROUP0;IC_ACTIVE0;IC_GROUP1;IC_ACTIVE1;IC_GROUP2;IC_ACTIVE2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
1745; Гранд тёмный;Y;;;;;1659;левое;880;;;;;;;;3;0;0;0;0;;;10185000.00;BYR
1746;Гранд тёмный;Y;;;;;1659;левое;960;;;;;;;;5;0;0;0;0;;;10185000.00;RUB
1747;Гранд тёмный;Y;;;;;1659;правое;880;;;;;;;;5;0;0;0;0;;;10185000.00;RUB
1748;Гранд тёмный;Y;;;;;1659;правое;960;;;;;;;;5;0;0;0;0;;;10185000.00;RUB
1753; Стиль 80.01;Y;;;;;1542;левое;860;;;;;;;;5;0;0;0;0;;;5525000.00;BYR
1755; Стиль 80.01;Y;;;;;1542;правое;860;;;;;;;;5;0;0;0;0;;;5525000.00;BYR
1756; Стиль 80.01;Y;;;;;1542;правое;950;;;;;;;;5;0;0;0;0;;;5525000.00;BYR
1761; Линия светлая;Y;;;;;1543;левое;880;;;;;;;;5;0;0;0;0;;;9860000.00;BYR
1762; Линия светлая;Y;;;;;1543;левое;960;;;;;;;;5;0;0;0;0;;;9860000.00;RUB
1763; Линия светлая;Y;;;;;1543;правое;880;;;;;;;;5;0;0;0;0;;;9860000.00;RUB
1764; Линия светлая;Y;;;;;1543;правое;960;;;;;;;;5;0;0;0;0;;;9860000.00;BYR
1765;Миллениум светлая;Y;;;;;1548;левое;880;;;;;;;;5;0;0;0;0;;;10030000.00;RUB
1766;Миллениум светлая;Y;;;;;1548;левое;960;;;;;;;;5;0;0;0;0;;;10030000.00;RUB
1767;Миллениум светлая;Y;;;;;1548;правое;880;;;;;;;;5;0;0;0;0;;;10030000.00;RUB
1768;Миллениум светлая;Y;;;;;1548;правое;960;;;;;;;;5;0;0;0;0;;;10030000.00;RUB
1769;Миллениум тёмная;Y;;;;;1545;левое;880;;;;;;;;5;0;0;0;0;;;10030000.00;RUB
1770;Миллениум тёмная;Y;;;;;1545;левое;960;;;;;;;;5;0;0;0;0;;;10030000.00;BYR
1771;Миллениум тёмная;Y;;;;;1545;правое;880;;;;;;;;5;0;0;0;0;;;10030000.00;RUB
1772;Миллениум тёмная;Y;;;;;1545;правое;960;;;;;;;;5;0;0;0;0;;;10030000.00;RUB
1773; Легран 06;Y;;;;;1546;левое;860;;;;;;;;5;0;0;0;0;;;8967000.00;BYR
1774; Легран 06;Y;;;;;1546;левое;950;;;;;;;;5;0;0;0;0;;;8967000.00;RUB
1775; Легран 06;Y;;;;;1546;правое;860;;;;;;;;5;0;0;0;0;;;8967000.00;RUB
1776; Легран 06;Y;;;;;1546;правое;950;;;;;;;;5;0;0;0;0;;;8967000.00;RUB
1777; Легран 05;Y;;;;;1547;левое;860;;;;;;;;5;0;0;0;0;;;8967000.00;RUB
1778; Легран 05;Y;;;;;1547;левое;950;;;;;;;;5;0;0;0;0;;;8967000.00;BYR
1779; Легран 05;Y;;;;;1547;правое;860;;;;;;;;5;0;0;0;0;;;8967000.00;RUB
1780; Легран 05;Y;;;;;1547;правое;950;;;;;;;;5;0;0;0;0;;;8967000.00;RUB
1781; Лацио;Y;;;;;1550;левое;960;;;;;;;;5;0;0;0;0;;;15470000.00;RUB
1782; Лацио;Y;;;;;1550;правое;960;;;;;;;;5;0;0;0;0;;;15470000.00;RUB
1787; Стиль 80.02;Y;;;;;1554;левое;860;;;;;;;;5;0;0;0;0;;;5525000.00;RUB
1788; Стиль 80.02;Y;;;;;1554;левое;950;;;;;;;;5;0;0;0;0;;;5525000.00;RUB
1789; Стиль 80.02;Y;;;;;1554;правое;860;;;;;;;;5;0;0;0;0;;;5525000.00;RUB
1790; Стиль 80.02;Y;;;;;1554;правое;950;;;;;;;;4;0;0;0;0;;;5525000.00;RUB
1791; Шервуд 80.04;Y;;;;;1558;левое;860;;;;;;;;5;0;0;0;0;;;6715000.00;RUB
1792; Шервуд 80.04;Y;;;;;1558;левое;950;;;;;;;;5;0;0;0;0;;;6715000.00;RUB
1793; Шервуд 80.04;Y;;;;;1558;правое;860;;;;;;;;5;0;0;0;0;;;6715000.00;RUB
1794; Шервуд 80.04;Y;;;;;1558;правое;950;;;;;;;;5;0;0;0;0;;;6715000.00;RUB
1795; Линия тёмная;Y;;;;;1559;левое;880;;;;;;;;5;0;0;0;0;;;9860000.00;RUB
1796; Линия тёмная;Y;;;;;1559;левое;960;;;;;;;;5;0;0;0;0;;;9860000.00;RUB
1797; Линия тёмная;Y;;;;;1559;правое;880;;;;;;;;5;0;0;0;0;;;9860000.00;RUB
1798; Линия тёмная;Y;;;;;1559;правое;960;;;;;;;;4;0;0;0;0;;;9860000.00;RUB
1799; Монарх;Y;;;;;1560;левое;960;;;;;;;;5;0;0;0;0;;;15470000.00;BYR
1800; Монарх;Y;;;;;1560;правое;960;;;;;;;;4;0;0;0;0;;;15470000.00;RUB
1801;Шервуд 80.03;Y;;;;;1564;левое;860;;;;;;;;5;0;0;0;0;;;6715000.00;RUB
1802;Шервуд 80.03;Y;;;;;1564;левое;950;;;;;;;;5;0;0;0;0;;;6715000.00;RUB
1803;Шервуд 80.03;Y;;;;;1564;правое;860;;;;;;;;2;0;0;0;0;;;6715000.00;RUB
1804;Шервуд 80.03;Y;;;;;1564;правое;950;;;;;;;;5;0;0;0;0;;;6715000.00;RUB
1805; Токио Винорит;Y;;;;;1567;левое;880;;;;;;;;5;0;0;0;0;;;10115000.00;RUB
1806; Токио Винорит;Y;;;;;1567;левое;960;;;;;;;;5;0;0;0;0;;;10115000.00;RUB
1807; Токио Винорит;Y;;;;;1567;правое;880;;;;;;;;5;0;0;0;0;;;10115000.00;RUB
1808; Токио Винорит;Y;;;;;1567;правое;960;;;;;;;;5;0;0;0;0;;;10115000.00;RUB
1813; Токио ПВХ;Y;;;;;1570;левое;880;;;;;;;;5;0;0;0;0;;;9010000.00;RUB
1814; Токио ПВХ;Y;;;;;1570;левое;960;;;;;;;;5;0;0;0;0;;;9010000.00;RUB
1815; Токио ПВХ;Y;;;;;1570;правое;880;;;;;;;;3;0;0;0;0;;;9010000.00;RUB
1816; Токио ПВХ;Y;;;;;1570;правое;960;;;;;;;;5;0;0;0;0;;;9010000.00;RUB
1817; Фиеста;Y;;;;;1593;левое;880;;;;;;;;5;0;0;0;0;;;8670000.00;RUB
1818; Фиеста;Y;;;;;1593;левое;960;;;;;;;;5;0;0;0;0;;;8670000.00;RUB
1819; Фиеста;Y;;;;;1593;правое;880;;;;;;;;5;0;0;0;0;;;8670000.00;RUB
1820; Фиеста;Y;;;;;1593;правое;960;;;;;;;;5;0;0;0;0;;;8670000.00;RUB
1821; Вена;Y;;;;;1671;левое;880;;;;;;;;5;0;0;0;0;;;9265000.00;BYR
1822; Вена;Y;;;;;1671;левое;960;;;;;;;;5;0;0;0;0;;;9265000.00;RUB
1823; Вена;Y;;;;;1671;правое;880;;;;;;;;4;0;0;0;0;;;9265000.00;RUB
1824; Вена;Y;;;;;1671;правое;960;;;;;;;;5;0;0;0;0;;;9265000.00;RUB
1825; Новосёл 6 светлый;Y;;;;;1631;левое;860;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1826; Новосёл 6 светлый;Y;;;;;1631;левое;950;;;;;;;;4;0;0;0;0;;;7565000.00;RUB
1827; Новосёл 6 светлый;Y;;;;;1631;правое;860;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1828; Новосёл 6 светлый;Y;;;;;1631;правое;950;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1829; Новосёл 6 тёмный;Y;;;;;1639;левое;860;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1830; Новосёл 6 тёмный;Y;;;;;1639;левое;950;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1831; Новосёл 6 тёмный;Y;;;;;1639;правое;860;;;;;;;;4;0;0;0;0;;;7565000.00;RUB
1832; Новосёл 6 тёмный;Y;;;;;1639;правое;950;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1833; Гранд светлый;Y;;;;;1640;левое;880;;;;;;;;5;0;0;0;0;;;10920000.00;RUB
1834; Гранд светлый;Y;;;;;1640;левое;960;;;;;;;;5;0;0;0;0;;;10920000.00;RUB
1835; Гранд светлый;Y;;;;;1640;правое;880;;;;;;;;5;0;0;0;0;;;10920000.00;RUB
1836; Гранд светлый;Y;;;;;1640;правое;960;;;;;;;;5;0;0;0;0;;;10920000.00;RUB
1837; Новосёл 5;Y;;;;;1662;левое;860;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1838; Новосёл 5;Y;;;;;1662;левое;950;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1839; Новосёл 5;Y;;;;;1662;правое;860;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1840; Новосёл 5;Y;;;;;1662;правое;950;;;;;;;;5;0;0;0;0;;;7565000.00;RUB
1841; Север;Y;;;;;1663;левое;960;;;;;;;;5;0;0;0;0;;;13415000.00;RUB
1842; Север;Y;;;;;1663;правое;960;;;;;;;;5;0;0;0;0;;;13415000.00;RUB
1843; Север 1;Y;;;;;1568;левое;960;;;;;;;;5;0;0;0;0;;;15715000.00;RUB
1844; Север 1;Y;;;;;1568;правое;960;;;;;;;;3;0;0;0;0;;;15715000.00;RUB
1845;Стиль 80.01;Y;;;;;1542;правое;950;;;;;;;;0;0;0;0;0;;;5525000.00;BYR
